Num	Guess	Average remaining answers
913	nairu:	136.485
914	coure:	136.529
915	morel:	136.534
916	hotel:	136.561
917	recon:	136.573
918	sepal:	136.587
919	aport:	136.607
920	raids:	136.644
921	crame:	136.671
922	rauns:	136.672
923	waler:	136.673
924	metal:	136.675
925	coast:	136.698
926	kesar:	136.722
927	prent:	136.768
928	geals:	136.795
929	nicer:	136.811
930	ashet:	136.822
931	sutra:	136.837
932	airth:	136.844
933	hoars:	136.865
934	laird:	136.930
935	petri:	136.946
936	scran:	136.959
937	rakes:	136.974
938	cager:	137.018
939	manse:	137.027
940	ahent:	137.033
941	heros:	137.087
942	coria:	137.092
943	ranke:	137.095
944	stein:	137.106
945	agile:	137.136
946	other:	137.137
947	lames:	137.143
948	suite:	137.145
949	anger:	137.164
950	aspie:	137.183
951	doers:	137.204
952	penal:	137.216
953	tules:	137.300
954	eliad:	137.313
955	haros:	137.323
956	sorda:	137.325
957	trend:	137.364
958	noirs:	137.369
959	getas:	137.381
960	leaps:	137.385
961	remit:	137.393
962	tribe:	137.416
963	snead:	137.445
964	ousel:	137.467
965	roins:	137.470
966	timer:	137.500
967	brise:	137.530
968	unlet:	137.558
969	riyal:	137.616
970	lawer:	137.628
971	goier:	137.645
972	redos:	137.677
973	almes:	137.690
974	spier:	137.704
975	trefa:	137.707
976	morse:	137.727
977	polar:	137.734
978	smore:	137.759
979	tawie:	137.765
980	tabes:	137.771
981	ablet:	137.781
982	ronts:	137.795
983	style:	137.795
984	opter:	137.799
985	heats:	137.823
986	beast:	137.827
987	soger:	137.855
988	teams:	137.914
989	rahed:	137.919
990	ethal:	137.961
991	meril:	137.970
992	cites:	138.077
993	tices:	138.079
994	stain:	138.088
995	blase:	138.094
996	drone:	138.107
997	rosin:	138.117
998	meats:	138.122
999	miter:	138.124
1000	narcs:	138.126
1001	lards:	138.131
1002	raphe:	138.167
1003	meals:	138.195
1004	oyers:	138.200
1005	ocean:	138.251
1006	tepas:	138.279
1007	birse:	138.281
1008	ryals:	138.295
1009	abies:	138.321
1010	groat:	138.353
1011	noris:	138.356
1012	panes:	138.361
1013	dorsa:	138.368
1014	slide:	138.375
1015	noule:	138.396
1016	ornis:	138.430
1017	phare:	138.444
1018	lehrs:	138.450
1019	cased:	138.503
1020	reach:	138.511
1021	sapor:	138.540
1022	shiel:	138.543
1023	lucre:	138.549
1024	coals:	138.558
1025	tilde:	138.564
1026	cruse:	138.575
1027	ideas:	138.581
1028	heard:	138.672
1029	bates:	138.675
1030	ashen:	138.689
1031	riads:	138.693
1032	liard:	138.714
1033	racon:	138.722
1034	feria:	138.759
1035	honer:	138.833
1036	eland:	138.875
1037	hoers:	138.897
1038	narco:	138.911
1039	anils:	138.944
1040	sepia:	138.945
1041	swear:	138.950
1042	perst:	139.028
1043	mires:	139.029
1044	birle:	139.052
1045	lithe:	139.087
1046	irons:	139.094
1047	samen:	139.100
1048	nitro:	139.100
1049	snirt:	139.102
1050	speir:	139.142
1051	padre:	139.148
1052	feral:	139.208
1053	sidle:	139.231
1054	oncer:	139.283
1055	ciels:	139.286
1056	gator:	139.305
1057	harls:	139.322
1058	shero:	139.327
1059	skear:	139.348
1060	septa:	139.431
1061	pores:	139.447
1062	poral:	139.463
1063	tiger:	139.468
1064	horas:	139.533
1065	wears:	139.559
1066	sonce:	139.564
1067	helot:	139.594
1068	aegis:	139.629
1069	pelas:	139.640
1070	lutes:	139.643
1071	loipe:	139.651
1072	bries:	139.819
1073	snary:	139.822
1074	deary:	139.863
1075	blaes:	139.909
1076	rainy:	139.911
1077	curse:	139.933
1078	drape:	139.937
1079	sucre:	139.947
1080	idler:	139.986
1081	parti:	140.028
1082	cades:	140.043
1083	tinas:	140.057
1084	poser:	140.065
1085	rayed:	140.070
1086	clast:	140.081
1087	hosel:	140.111
1088	eniac:	140.115
1089	coats:	140.145
1090	tosed:	140.157
1091	losed:	140.159
1092	porta:	140.193
1093	leams:	140.218
1094	miler:	140.228
1095	latke:	140.228
1096	natis:	140.247
1097	heron:	140.257
1098	ideal:	140.271
1099	ronde:	140.277
1100	cadie:	140.300
1101	gores:	140.302
1102	taver:	140.392
1103	hoise:	140.399
1104	derns:	140.418
1105	oleic:	140.423
1106	crues:	140.427
1107	rugae:	140.451
1108	regna:	140.456
1109	yeard:	140.457
1110	peans:	140.492
1111	reaks:	140.498
1112	haets:	140.543
1113	recap:	140.544
1114	trins:	140.545
1115	peris:	140.550
1116	tiled:	140.608
1117	sault:	140.616
1118	saree:	140.617
1119	speat:	140.620
1120	cabre:	140.644
1121	siled:	140.648
1122	prial:	140.680
1123	metro:	140.733
1124	rayon:	140.742
1125	payer:	140.771
1126	eosin:	140.785
1127	doles:	140.787
1128	naric:	140.828
1129	yarns:	140.831
1130	ropes:	140.834
1131	acted:	140.892
1132	strep:	140.914
1133	napes:	140.932
1134	cuter:	140.937
1135	ripes:	140.957
1136	saver:	140.988
1137	acorn:	140.994
1138	renga:	141.044
1139	lytes:	141.071
1140	clade:	141.095
1141	daces:	141.110
1142	brace:	141.111
1143	cline:	141.113
1144	lieus:	141.198
1145	resaw:	141.213
1146	pared:	141.217
1147	merls:	141.225
1148	taupe:	141.228
1149	miser:	141.239
1150	blore:	141.242
1151	morat:	141.309
1152	prest:	141.321
1153	pilar:	141.353
1154	rueda:	141.381
1155	mesal:	141.398
1156	ready:	141.398
1157	plena:	141.403
1158	rimes:	141.407
1159	meris:	141.421
1160	seity:	141.429
1161	darns:	141.441
1162	asker:	141.463
1163	aloin:	141.478
1164	atoke:	141.513
1165	beats:	141.551
1166	brose:	141.579
1167	entry:	141.586
1168	coati:	141.587
1169	argot:	141.601
1170	argue:	141.630
1171	bales:	141.644
1172	blert:	141.718
1173	besat:	141.726
1174	lidar:	141.744
1175	roble:	141.762
1176	dotes:	141.841
1177	pairs:	141.876
1178	siroc:	141.889
1179	minae:	141.909
1180	sargo:	141.946
1181	speal:	141.964
1182	lodes:	141.989
1183	nirls:	142.020
1184	haute:	142.070
1185	walie:	142.090
1186	praos:	142.112
1187	manes:	142.116
1188	delts:	142.161
1189	crost:	142.197
1190	intro:	142.227
1191	terms:	142.234
1192	salut:	142.236
1193	holes:	142.280
1194	ostia:	142.311
1195	toric:	142.325
1196	hepar:	142.325
1197	trike:	142.342
1198	herns:	142.347
1199	calos:	142.382
1200	ament:	142.392
1201	ergot:	142.408
1202	ulcer:	142.475
1203	perts:	142.495
1204	coirs:	142.517
1205	kiore:	142.529
1206	cesti:	142.540
1207	simar:	142.541
1208	glair:	142.586
1209	trash:	142.598
1210	laity:	142.618
1211	boart:	142.643
1212	helio:	142.673
1213	troke:	142.739
1214	sabir:	142.787
1215	melas:	142.808
1216	laree:	142.813
1217	scone:	142.821
1218	recut:	142.828
1219	tical:	142.828
1220	lerps:	142.873
1221	mores:	142.902
1222	vares:	142.917
1223	cital:	142.942
1224	lacey:	142.980
1225	since:	143.004
1226	salic:	143.013
1227	email:	143.015
1228	crios:	143.068
1229	atrip:	143.088
1230	lited:	143.098
1231	macer:	143.107
1232	bleat:	143.260
1233	pleas:	143.282
1234	deray:	143.286
1235	tacos:	143.293
1236	scail:	143.360
1237	naker:	143.402
1238	grail:	143.407
1239	neaps:	143.420
1240	sited:	143.497
1241	false:	143.497
1242	trems:	143.512
1243	cures:	143.516
1244	repos:	143.529
1245	talcs:	143.552
1246	onery:	143.570
1247	laics:	143.650
1248	oncet:	143.650
1249	doest:	143.651
1250	rebit:	143.689
1251	yites:	143.699
1252	avert:	143.718
1253	nerds:	143.735
1254	hoaed:	143.742
1255	loric:	143.746
1256	clats:	143.747
1257	certy:	143.798
1258	piers:	143.893
1259	liger:	143.894
1260	biter:	143.935
1261	gairs:	143.945
1262	proas:	143.956
1263	aspen:	143.986
1264	deist:	143.996
1265	morne:	144.004
1266	tuyer:	144.016
1267	moile:	144.037
1268	frena:	144.090
1269	tehrs:	144.097
1270	goers:	144.098
1271	amort:	144.107
1272	leish:	144.141
1273	hause:	144.155
1274	tragi:	144.175
1275	cento:	144.189
1276	loath:	144.194
1277	raped:	144.208
1278	names:	144.260
1279	means:	144.263
1280	beals:	144.291
1281	rends:	144.304
1282	oldie:	144.305
1283	reate:	144.314
1284	mairs:	144.334
1285	colas:	144.355
1286	paris:	144.373
1287	motel:	144.380
1288	borel:	144.397
1289	ogler:	144.422
1290	menta:	144.424
1291	ureic:	144.541
1292	roily:	144.542
1293	tawse:	144.629
1294	preon:	144.658
1295	betas:	144.663
1296	regos:	144.691
1297	eruct:	144.712
1298	raves:	144.750
1299	sharn:	144.806
1300	harns:	144.813
1301	sober:	144.818
1302	auger:	144.828
1303	rands:	144.907
1304	cents:	144.908
1305	ileus:	144.929
1306	doner:	144.956
1307	heils:	144.970
1308	ogres:	144.972
1309	nards:	145.057
1310	ables:	145.057
1311	ribes:	145.061
1312	aerie:	145.070
1313	delos:	145.112
1314	banes:	145.126
1315	stied:	145.134
1316	basen:	145.135
1317	slaty:	145.138
1318	laced:	145.148
1319	aygre:	145.157
1320	riems:	145.169
1321	antis:	145.183
1322	gayer:	145.270
1323	steam:	145.286
